source,target,corr,abs_corr,sign,weight,period
CPALL.BK,WMT,0.02564239997808209,0.02564239997808209,+,0.02564239997808209,Post-Crisis (2022)
CPALL.BK,XOM,0.10374160869767227,0.10374160869767227,+,0.10374160869767227,Post-Crisis (2022)
CPN.BK,CVX,0.16250402913344666,0.16250402913344666,+,0.16250402913344666,Post-Crisis (2022)
CPN.BK,GLD,0.11278913448890922,0.11278913448890922,+,0.11278913448890922,Post-Crisis (2022)
CPN.BK,GOOGL,0.16544320011918578,0.16544320011918578,+,0.16544320011918578,Post-Crisis (2022)
CPN.BK,GULF.BK,0.3559629242712787,0.3559629242712787,+,0.3559629242712787,Post-Crisis (2022)
CPN.BK,JNJ,0.007261633112885703,0.007261633112885703,+,0.007261633112885703,Post-Crisis (2022)
CPN.BK,JPM,0.22929485845393324,0.22929485845393324,+,0.22929485845393324,Post-Crisis (2022)
CPN.BK,KBANK.BK,0.2810156129093427,0.2810156129093427,+,0.2810156129093427,Post-Crisis (2022)
CPN.BK,KTB.BK,0.21986976448687534,0.21986976448687534,+,0.21986976448687534,Post-Crisis (2022)
CPN.BK,META,0.071543640297575,0.071543640297575,+,0.071543640297575,Post-Crisis (2022)
CPN.BK,MSFT,0.18636647775238235,0.18636647775238235,+,0.18636647775238235,Post-Crisis (2022)
CPN.BK,NVDA,0.1555893930127525,0.1555893930127525,+,0.1555893930127525,Post-Crisis (2022)
CPN.BK,PTT.BK,0.25183125981379917,0.25183125981379917,+,0.25183125981379917,Post-Crisis (2022)
CPN.BK,PTTEP.BK,0.003023450331833674,0.003023450331833674,+,0.003023450331833674,Post-Crisis (2022)
CPN.BK,PTTGC.BK,0.23768406274936518,0.23768406274936518,+,0.23768406274936518,Post-Crisis (2022)
CPN.BK,SCB.BK,0.21821048455340158,0.21821048455340158,+,0.21821048455340158,Post-Crisis (2022)
CPN.BK,SCC.BK,0.2800966111366309,0.2800966111366309,+,0.2800966111366309,Post-Crisis (2022)
CPN.BK,TRUE.BK,0.18517380783737322,0.18517380783737322,+,0.18517380783737322,Post-Crisis (2022)
CPN.BK,TSLA,0.16591131749321197,0.16591131749321197,+,0.16591131749321197,Post-Crisis (2022)
CPN.BK,UNH,0.23159758765160715,0.23159758765160715,+,0.23159758765160715,Post-Crisis (2022)
CPN.BK,WMT,0.056844741392744924,0.056844741392744924,+,0.056844741392744924,Post-Crisis (2022)
CPN.BK,XOM,0.10880675773283137,0.10880675773283137,+,0.10880675773283137,Post-Crisis (2022)
CVX,GLD,0.4048137706078918,0.4048137706078918,+,0.4048137706078918,Post-Crisis (2022)
CVX,GOOGL,0.2527453478933469,0.2527453478933469,+,0.2527453478933469,Post-Crisis (2022)
CVX,GULF.BK,0.10301917948142349,0.10301917948142349,+,0.10301917948142349,Post-Crisis (2022)
CVX,JNJ,0.11638821473344163,0.11638821473344163,+,0.11638821473344163,Post-Crisis (2022)
CVX,JPM,0.29964561896952185,0.29964561896952185,+,0.29964561896952185,Post-Crisis (2022)
CVX,KBANK.BK,0.07123176218628711,0.07123176218628711,+,0.07123176218628711,Post-Crisis (2022)
CVX,KTB.BK,0.02057867304414644,0.02057867304414644,+,0.02057867304414644,Post-Crisis (2022)
CVX,META,0.16179777442685475,0.16179777442685475,+,0.16179777442685475,Post-Crisis (2022)
CVX,MSFT,0.24881819402404604,0.24881819402404604,+,0.24881819402404604,Post-Crisis (2022)
CVX,NVDA,0.28026463680038044,0.28026463680038044,+,0.28026463680038044,Post-Crisis (2022)
CVX,PTT.BK,0.24640634887942384,0.24640634887942384,+,0.24640634887942384,Post-Crisis (2022)
CVX,PTTEP.BK,0.2169036125403288,0.2169036125403288,+,0.2169036125403288,Post-Crisis (2022)
CVX,PTTGC.BK,0.24692979298449427,0.24692979298449427,+,0.24692979298449427,Post-Crisis (2022)
CVX,SCB.BK,-0.015803621230834435,0.015803621230834435,-,0.015803621230834435,Post-Crisis (2022)
CVX,SCC.BK,0.07526242422613957,0.07526242422613957,+,0.07526242422613957,Post-Crisis (2022)
CVX,TRUE.BK,0.10530861361252784,0.10530861361252784,+,0.10530861361252784,Post-Crisis (2022)
CVX,TSLA,0.16106467406505293,0.16106467406505293,+,0.16106467406505293,Post-Crisis (2022)
CVX,UNH,0.23360301888055177,0.23360301888055177,+,0.23360301888055177,Post-Crisis (2022)
CVX,WMT,0.17772562525533855,0.17772562525533855,+,0.17772562525533855,Post-Crisis (2022)
CVX,XOM,0.8816785509952219,0.8816785509952219,+,0.8816785509952219,Post-Crisis (2022)
GLD,GOOGL,0.1284269178361899,0.1284269178361899,+,0.1284269178361899,Post-Crisis (2022)
GLD,GULF.BK,0.05123261359750037,0.05123261359750037,+,0.05123261359750037,Post-Crisis (2022)
GLD,JNJ,-0.005852026364965122,0.005852026364965122,-,0.005852026364965122,Post-Crisis (2022)
GLD,JPM,0.06640763673137987,0.06640763673137987,+,0.06640763673137987,Post-Crisis (2022)
GLD,KBANK.BK,-0.00974980392045738,0.00974980392045738,-,0.00974980392045738,Post-Crisis (2022)
GLD,KTB.BK,-0.07346614446380294,0.07346614446380294,-,0.07346614446380294,Post-Crisis (2022)
GLD,META,0.0687101741722521,0.0687101741722521,+,0.0687101741722521,Post-Crisis (2022)
GLD,MSFT,0.11208890843788417,0.11208890843788417,+,0.11208890843788417,Post-Crisis (2022)
GLD,NVDA,0.12132658385665271,0.12132658385665271,+,0.12132658385665271,Post-Crisis (2022)
GLD,PTT.BK,0.038495130732965156,0.038495130732965156,+,0.038495130732965156,Post-Crisis (2022)
GLD,PTTEP.BK,0.05804305425365482,0.05804305425365482,+,0.05804305425365482,Post-Crisis (2022)
GLD,PTTGC.BK,0.10238491090068443,0.10238491090068443,+,0.10238491090068443,Post-Crisis (2022)
GLD,SCB.BK,-0.058546646772664634,0.058546646772664634,-,0.058546646772664634,Post-Crisis (2022)
GLD,SCC.BK,0.05051876492899912,0.05051876492899912,+,0.05051876492899912,Post-Crisis (2022)
GLD,TRUE.BK,0.04626453423531703,0.04626453423531703,+,0.04626453423531703,Post-Crisis (2022)
GLD,TSLA,0.04609808478996497,0.04609808478996497,+,0.04609808478996497,Post-Crisis (2022)
GLD,UNH,0.06456574629552314,0.06456574629552314,+,0.06456574629552314,Post-Crisis (2022)
GLD,WMT,0.12253988159353373,0.12253988159353373,+,0.12253988159353373,Post-Crisis (2022)
GLD,XOM,0.38619801679561905,0.38619801679561905,+,0.38619801679561905,Post-Crisis (2022)
GOOGL,GULF.BK,0.12037095977171045,0.12037095977171045,+,0.12037095977171045,Post-Crisis (2022)
GOOGL,JNJ,0.2651989495234705,0.2651989495234705,+,0.2651989495234705,Post-Crisis (2022)
GOOGL,JPM,0.4981159502517088,0.4981159502517088,+,0.4981159502517088,Post-Crisis (2022)
GOOGL,KBANK.BK,-0.021717763072062628,0.021717763072062628,-,0.021717763072062628,Post-Crisis (2022)
GOOGL,KTB.BK,-0.05454235401881985,0.05454235401881985,-,0.05454235401881985,Post-Crisis (2022)
GOOGL,META,0.656640003789519,0.656640003789519,+,0.656640003789519,Post-Crisis (2022)
GOOGL,MSFT,0.8468621165021327,0.8468621165021327,+,0.8468621165021327,Post-Crisis (2022)
GOOGL,NVDA,0.7618091914963725,0.7618091914963725,+,0.7618091914963725,Post-Crisis (2022)
GOOGL,PTT.BK,0.12670175541351825,0.12670175541351825,+,0.12670175541351825,Post-Crisis (2022)
GOOGL,PTTEP.BK,0.009548848532118126,0.009548848532118126,+,0.009548848532118126,Post-Crisis (2022)
GOOGL,PTTGC.BK,0.14319236471647268,0.14319236471647268,+,0.14319236471647268,Post-Crisis (2022)
GOOGL,SCB.BK,-0.014351381365611857,0.014351381365611857,-,0.014351381365611857,Post-Crisis (2022)
GOOGL,SCC.BK,0.13333405112764754,0.13333405112764754,+,0.13333405112764754,Post-Crisis (2022)
GOOGL,TRUE.BK,0.09730478746031437,0.09730478746031437,+,0.09730478746031437,Post-Crisis (2022)
GOOGL,TSLA,0.5127535461592937,0.5127535461592937,+,0.5127535461592937,Post-Crisis (2022)
GOOGL,UNH,0.38174115064711167,0.38174115064711167,+,0.38174115064711167,Post-Crisis (2022)
GOOGL,WMT,0.312823372744203,0.312823372744203,+,0.312823372744203,Post-Crisis (2022)
GOOGL,XOM,0.1942068097274897,0.1942068097274897,+,0.1942068097274897,Post-Crisis (2022)
GULF.BK,JNJ,-0.0971391133934318,0.0971391133934318,-,0.0971391133934318,Post-Crisis (2022)
GULF.BK,JPM,0.13876142241846595,0.13876142241846595,+,0.13876142241846595,Post-Crisis (2022)
GULF.BK,KBANK.BK,0.36506431242023024,0.36506431242023024,+,0.36506431242023024,Post-Crisis (2022)
GULF.BK,KTB.BK,0.2641004455340974,0.2641004455340974,+,0.2641004455340974,Post-Crisis (2022)
GULF.BK,META,0.11556564548598047,0.11556564548598047,+,0.11556564548598047,Post-Crisis (2022)
GULF.BK,MSFT,0.11646846977279511,0.11646846977279511,+,0.11646846977279511,Post-Crisis (2022)
GULF.BK,NVDA,0.13506239928825184,0.13506239928825184,+,0.13506239928825184,Post-Crisis (2022)
GULF.BK,PTT.BK,0.25632020347726636,0.25632020347726636,+,0.25632020347726636,Post-Crisis (2022)
GULF.BK,PTTEP.BK,-0.09723943460685891,0.09723943460685891,-,0.09723943460685891,Post-Crisis (2022)
GULF.BK,PTTGC.BK,0.19972202934970387,0.19972202934970387,+,0.19972202934970387,Post-Crisis (2022)
GULF.BK,SCB.BK,0.21208419166904252,0.21208419166904252,+,0.21208419166904252,Post-Crisis (2022)
GULF.BK,SCC.BK,0.41866544588951604,0.41866544588951604,+,0.41866544588951604,Post-Crisis (2022)
GULF.BK,TRUE.BK,0.3352559114409537,0.3352559114409537,+,0.3352559114409537,Post-Crisis (2022)
GULF.BK,TSLA,0.2766451333615937,0.2766451333615937,+,0.2766451333615937,Post-Crisis (2022)
GULF.BK,UNH,0.047421947010652325,0.047421947010652325,+,0.047421947010652325,Post-Crisis (2022)
GULF.BK,WMT,-0.04313023184317271,0.04313023184317271,-,0.04313023184317271,Post-Crisis (2022)
GULF.BK,XOM,0.09610133786613081,0.09610133786613081,+,0.09610133786613081,Post-Crisis (2022)
JNJ,JPM,0.36214589978978867,0.36214589978978867,+,0.36214589978978867,Post-Crisis (2022)
JNJ,KBANK.BK,-0.01835746797761185,0.01835746797761185,-,0.01835746797761185,Post-Crisis (2022)
JNJ,KTB.BK,-0.08546351774764314,0.08546351774764314,-,0.08546351774764314,Post-Crisis (2022)
JNJ,META,0.15907754797157958,0.15907754797157958,+,0.15907754797157958,Post-Crisis (2022)
JNJ,MSFT,0.33119601167416646,0.33119601167416646,+,0.33119601167416646,Post-Crisis (2022)
JNJ,NVDA,0.17564071561899916,0.17564071561899916,+,0.17564071561899916,Post-Crisis (2022)
JNJ,PTT.BK,-0.01656943931933098,0.01656943931933098,-,0.01656943931933098,Post-Crisis (2022)
